bibliografiija+N+Der/heapmi+A+Comp+Sg+Nom	bibliografiijahit	bˈib.lio.grˌɑ.fiː.jɑ»hit>
bibliografiija+N+Der/heapmi+A+Sg+Com	bibliografiijahemiin	bˈib.lio.grˌɑ.fiː.jɑ»hˌe.mi>in
bibliografiija+N+Der/heapmi+A+Attr	bibliografiijahis	bˈib.lio.grˌɑ.fiː.jɑ»his>
bibliografiija+N+Der/huhtti+V+TV+VAbess	bibliografiijahuhtehaga	bˈib.lio.grˌɑ.fiː.jɑ»hˌu.te>.hɑ.gɑ
bibliografiija+N+Der/huhtti+V+TV+Ind+Prt+Du1	bibliografiijahuhtiime	bˈib.lio.grˌɑ.fiː.jɑ»hˌu.ti>i.me
bibliografiija+N+Der/huhtti+V+TV+Ind+Prt+Sg2	bibliografiijahuhttet	bˈib.lio.grˌɑ.fiː.jɑ»hˌut.te>t
bibliografiija+N+Der/huvva+V+IV+Pot+Prs+Sg3	bibliografiijahuvaš	bˈib.lio.grˌɑ.fiː.jɑ»hˌu.vɑ>ʃ
bibliografiija+N+Der/huvva+V+IV+Imprt+Du2	bibliografiijahuvvi	bˈib.lio.grˌɑ.fiː.jɑ»hˌuv.vi>
bibliografiija+N+Der/huvva+V+IV+ConNegII	bibliografiijahuvvo	bˈib.lio.grˌɑ.fiː.jɑ»hˌuv.vo>
bibliografiija+N+Der/huvva+V+IV+Ind+Prs+Sg3	bibliografiijahuvvá	bˈib.lio.grˌɑ.fiː.jɑ»hˌuvː.vá>
bibliografiija+N+Der/laš+A+Comp+Sg+Nom	bibliografiijalut	bˈib.lio.grˌɑ.fiː.jɑ»lut>
bibliografiija+N+Der/laš+A+Superl+Sg+Loc	bibliografiijalamosis	bˈib.lio.grˌɑ.fiː.jɑ»lˌɑ.mo.s>is
bibliografiija+N+Der/laš+A+Der/vuohta+N+Sg+Ill	bibliografiijalašvuhtii	bˈib.lio.grˌɑ.fiː.jɑ»lɑʃ»vˌu.ti>i
bibliografiija+N+Sg+Ill	bibliografiijii	bˈib.lio.grˌɑ.fiː.ji>i
bigamiija+N+Ess+PxDu3	bigamiijaneaskka	bˈiː.gɑ.mˌiː.jɑ>.neɑs.kɑ
bigamiija+N+Ess+PxPl2	bigamiijaneattet	bˈiː.gɑ.mˌiː.jɑ>.nĕɑt.tet
bigamiija+N+Ess+PxSg2	bigamiijanat	bˈiː.gɑ.mˌiː.jɑ>.nɑt
bigamiija+N+Pl+Com	bigamiijaiguin	bˈiː.gɑ.mˌiː.jɑ>i.gujn
bigamiija+N+Pl+Ill+PxSg2	bigamiijaidasat	bˈiː.gɑ.mˌiː.jɑ>i.dɑ.sɑt
bigamiija+N+Pl+Loc	bigamiijain	bˈiː.gɑ.mˌiː.jɑ>in
bigamiija+N+Pl+Nom+PxSg1	bigamiijaidan	bˈiː.gɑ.mˌiː.jɑ>i.dɑn
bigamiija+N+Pl+Nom	bigamiijat	bˈiː.gɑ.mˌiː.jɑ>t
bigamiija+N+Sg+Nom+PxSg2	bigamiijat	bˈiː.gɑ.mˌiː.jɑ>t
bigamiija+N+Sg+Ill	bigamiijai	bˈiː.gɑ.mˌiː.jɑ>i
bigamiija+N+Sg+Loc	bigamiijas	bˈiː.gɑ.mˌiː.jɑ>s
bigamiija+N+Der/viđá+Adv	bigamiijaviđá	bˈiː.gɑ.mˌiː.jɑ>»vˌi.ðá
bigamiija+N+Der/Dimin+N+Sg+Nom	bigamiijaš	bˈiː.gɑ.mˌiː.jɑ»ʃ
bigamiija+N+Der/Dimin+N+Ess	bigamiijažin	bˈiː.gɑ.mˌiː.jɑ»žin
bigamiija+N+Der/heapmi+A+Pl+Com	bigamiijahemiiguin	bˈiː.gɑ.mˌiː.jɑ»hˌe.mi>i.gujn
bigamiija+N+Der/huhtti+V+TV+Imprt+ConNeg	bigamiijahuhte	bˈiː.gɑ.mˌiː.jɑ»hˌu.te>
bigamiija+N+Der/huhtti+V+TV+Ger+PxPl3	bigamiijahuhtidettiineaset	bˈiː.gɑ.mˌiː.jɑ»hˌu.ti>.det.tij.nĕɑ.set
bigamiija+N+Der/huhtti+V+TV+Imprt+Pl2	bigamiijahuhttet	bˈiː.gɑ.mˌiː.jɑ»hˌut.te>t
bigamiija+N+Der/huhtti+V+TV+ConNegII	bigamiijahuhtto	bˈiː.gɑ.mˌiː.jɑ»hˌut.to>
bigamiija+N+Der/huvva+V+IV+Cond+Prs+Sg3	bigamiijahuvalii	bˈiː.gɑ.mˌiː.jɑ»hˌu.vɑ>.lij
bigamiija+N+Der/huvva+V+IV+VGen	bigamiijahuva	bˈiː.gɑ.mˌiː.jɑ»hˌu.vɑ>
bigamiija+N+Der/huvva+V+IV+Imprt+Du2	bigamiijahuvvi	bˈiː.gɑ.mˌiː.jɑ»hˌuv.vi>
bigamiija+N+Der/huvva+V+IV+ConNegII	bigamiijahuvvo	bˈiː.gɑ.mˌiː.jɑ»hˌuv.vo>
bigamiija+N+Der/laš+A+Superl+Attr	bigamiijaleamos	bˈiː.gɑ.mˌiː.jɑ»lˌeɑ.mos>
bigamiija+N+Der/laš+A+Der/vuohta+N+Sg+Ill	bigamiijalašvuhtii	bˈiː.gɑ.mˌiː.jɑ»lɑʃ»vˌu.ti>i
bigamiija+N+Sg+Ill	bigamiijii	bˈiː.gɑ.mˌiː.ji>i
bijouteriija+N+Ess+PxDu3	bijouteriijaneaskka	bˈiː.jou.tˌe.riː.jɑ>.neɑs.kɑ
bijouteriija+N+Ess+PxSg2	bijouteriijanat	bˈiː.jou.tˌe.riː.jɑ>.nɑt
bijouteriija+N+Ess	bijouteriijan	bˈiː.jou.tˌe.riː.jɑ>n
bijouteriija+N+Pl+Com	bijouteriijaiguin	bˈiː.jou.tˌe.riː.jɑ>i.gujn
bijouteriija+N+Pl+Ill+PxDu2	bijouteriijaidasade	bˈiː.jou.tˌe.riː.jɑ>i.dɑ.sɑ.de
bijouteriija+N+Pl+Ill+PxPl1	bijouteriijaidasamet	bˈiː.jou.tˌe.riː.jɑ>i.dɑ.sɑ.met
bijouteriija+N+Pl+Ill	bijouteriijaide	bˈiː.jou.tˌe.riː.jɑ>i.de
bijouteriija+N+Pl+Nom+PxSg3	bijouteriijaidis	bˈiː.jou.tˌe.riː.jɑ>i.dis
bijouteriija+N+Pl+Nom	bijouteriijat	bˈiː.jou.tˌe.riː.jɑ>t
bijouteriija+N+Sg+Gen+PxPl2	bijouteriijadet	bˈiː.jou.tˌe.riː.jɑ>.det
bijouteriija+N+Sg+Gen+PxSg2	bijouteriijat	bˈiː.jou.tˌe.riː.jɑ>t
bijouteriija+N+Sg+Nom+PxDu3	bijouteriijaska	bˈiː.jou.tˌe.riː.jɑ>skɑ
bijouteriija+N+Sg+Com+PxDu3	bijouteriijaineaskka	bˈiː.jou.tˌe.riː.jɑ>i.neɑs.kɑ
bijouteriija+N+Sg+Com+PxSg2	bijouteriijainat	bˈiː.jou.tˌe.riː.jɑ>i.nɑt
bijouteriija+N+Sg+Ill	bijouteriijai	bˈiː.jou.tˌe.riː.jɑ>i
bijouteriija+N+Sg+Ill+PxDu3	bijouteriijaseaskka	bˈiː.jou.tˌe.riː.jɑ>.seɑs.kɑ
bijouteriija+N+Sg+Ill+PxPl3	bijouteriijaseaset	bˈiː.jou.tˌe.riː.jɑ>.sĕɑ.set
bijouteriija+N+Sg+Loc	bijouteriijas	bˈiː.jou.tˌe.riː.jɑ>s
bijouteriija+N+Der/viđá+Adv	bijouteriijaviđá	bˈiː.jou.tˌe.riː.jɑ>»vˌi.ðá
bijouteriija+N+Der/Dimin+N+Sg+Nom	bijouteriijaš	bˈiː.jou.tˌe.riː.jɑ»ʃ
bijouteriija+N+Der/Dimin+N+Der/viđá+Adv	bijouteriijašviđá	bˈiː.jou.tˌe.riː.jɑ»ʃ»vˌi.ðá
bijouteriija+N+Der/Dimin+N+Sg+Acc+PxPl2	bijouteriijažeattet	bˈiː.jou.tˌe.riː.jɑ»žˌeɑt.tet
bijouteriija+N+Der/Dimin+N+Sg+Acc+PxSg2	bijouteriijažat	bˈiː.jou.tˌe.riː.jɑ»žɑt
bijouteriija+N+Der/Dimin+N+Sg+Nom+PxDu1	bijouteriijažeame	bˈiː.jou.tˌe.riː.jɑ»žˌeɑ.me
bijouteriija+N+Der/heapmi+A+Superl+Ess	bijouteriijahamosin	bˈiː.jou.tˌe.riː.jɑ»hˌɑ.mo.s>in
bijouteriija+N+Der/heapmi+A+Superl+Attr	bijouteriijaheamos	bˈiː.jou.tˌe.riː.jɑ»hˌeɑ.mos>
bijouteriija+N+Der/heapmi+A+Sg+Nom	bijouteriijaheapme	bˈiː.jou.tˌe.riː.jɑ»hˌeɑp.me>
bijouteriija+N+Der/heapmi+A+Attr+Der/vuohta+N+Sg+Ill	bijouteriijahisvuhtii	bˈiː.jou.tˌe.riː.jɑ»his>»vˌu.tij
bijouteriija+N+Der/huhtti+V+TV+Imprt+Du2	bijouteriijahuhtti	bˈiː.jou.tˌe.riː.jɑ»hˌut.ti>
bijouteriija+N+Der/huhtti+V+TV+Cond+Prs+Sg2	bijouteriijahuhtášit	bˈiː.jou.tˌe.riː.jɑ»hˌu.tá>.ʃit
bijouteriija+N+Der/huvva+V+IV+Sup	bijouteriijahuvažit	bˈiː.jou.tˌe.riː.jɑ»hˌu.vɑ>.žit
bijouteriija+N+Der/laš+A+Comp+Sg+Ill	bijouteriijalebbui	bˈiː.jou.tˌe.riː.jɑ»lˌeb.bu>i
bijouteriija+N+Der/laš+A+Superl+Der/at+Adv	bijouteriijalamosit	bˈiː.jou.tˌe.riː.jɑ»lˌɑ.mo.s>it
bijouteriija+N+Der/laš+A+Superl+Ess	bijouteriijaleamosin	bˈiː.jou.tˌe.riː.jɑ»lˌeɑ.mo.s>in
bijouteriija+N+Der/laš+A+Attr	bijouteriijalaš	bˈiː.jou.tˌe.riː.jɑ»lɑʃ>
bijouteriija+N+Der/laš+A+Der/vuohta+N+Sg+Ill	bijouteriijalašvuhtii	bˈiː.jou.tˌe.riː.jɑ»lɑʃ»vˌu.ti>i
bijouteriija+N+Sg+Ill	bijouteriijii	bˈiː.jou.tˌe.riː.ji>i
boazotragediija+N+Ess+PxDu1	boazotragediijaneame	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>.nĕɑ.me
boazotragediija+N+Ess+PxSg1	boazotragediijanan	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>.nɑn
boazotragediija+N+Ess+PxSg2	boazotragediijanat	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>.nɑt
boazotragediija+N+Pl+Com	boazotragediijaiguin	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>i.gujn
boazotragediija+N+Pl+Gen+PxDu1	boazotragediijaideame	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>i.dĕɑ.me
boazotragediija+N+Pl+Ill	boazotragediijaide	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>i.de
boazotragediija+N+Pl+Nom+PxDu3	boazotragediijaideaskka	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>i.deɑs.kɑ
boazotragediija+N+Pl+Nom	boazotragediijat	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>t
boazotragediija+N+Sg+Acc+PxDu1	boazotragediijame	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>.me
boazotragediija+N+Sg+Acc+PxSg2	boazotragediijat	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>t
boazotragediija+N+Sg+Gen+PxDu3	boazotragediijaska	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>skɑ
boazotragediija+N+Sg+Gen+PxPl2	boazotragediijadet	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>.det
boazotragediija+N+Sg+Gen+PxSg2	boazotragediijat	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>t
boazotragediija+N+Sg+Gen+PxSg3	boazotragediijas	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>s
boazotragediija+N+Sg+Nom+PxPl3	boazotragediijaset	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>.set
boazotragediija+N+Sg+Com+PxDu1	boazotragediijaineame	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>i.nĕɑ.me
boazotragediija+N+Sg+Ill	boazotragediijai	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>i
boazotragediija+N+Sg+Ill+PxDu1	boazotragediijaseame	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>.sĕɑ.me
boazotragediija+N+Sg+Loc	boazotragediijas	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>s
boazotragediija+N+Sg+Loc+PxPl3	boazotragediijasteaset	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>stĕɑ.set
boazotragediija+N+Sg+Loc+PxSg1	boazotragediijastan	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>stɑn
boazotragediija+N+Sg+Loc+PxSg2	boazotragediijastat	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>stɑt
boazotragediija+N+Der/viđá+Adv	boazotragediijaviđá	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ>»vˌi.ðá
boazotragediija+N+Der/Dimin+N+Der/viđá+Adv	boazotragediijašviđá	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»ʃ»vˌi.ðá
boazotragediija+N+Der/Dimin+N+Ess	boazotragediijažin	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»žin
boazotragediija+N+Der/Dimin+N+Sg+Acc+PxDu2	boazotragediijažeatte	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»žˌeɑt.te
boazotragediija+N+Der/Dimin+N+Sg+Acc	boazotragediijaža	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»žɑ
boazotragediija+N+Der/Dimin+N+Sg+Ill+PxSg1	boazotragediijažasan	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»žˌɑ.sɑ>n
boazotragediija+N+Der/Dimin+N+Sg+Loc+PxSg3	boazotragediijažisttis	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»žˌis.ti>s
boazotragediija+N+Der/heapmi+A+Comp+Attr	boazotragediijahut	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hut>
boazotragediija+N+Der/heapmi+A+Comp+Sg+Nom	boazotragediijahut	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hut>
boazotragediija+N+Der/heapmi+A+Superl+Sg+Nom	boazotragediijaheamos	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hˌeɑ.mos>
boazotragediija+N+Der/heapmi+A+Sg+Com	boazotragediijahemiin	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hˌe.mi>in
boazotragediija+N+Der/heapmi+A+Attr+Der/vuohta+N+Ess+PxPl1	boazotragediijahisvuohtaneamet	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»his>»vˌuo.tɑ.nˌĕɑ.met
boazotragediija+N+Der/huhtti+V+TV+Imprt+ConNeg	boazotragediijahuhte	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hˌu.te>
boazotragediija+N+Der/huhtti+V+TV+Cond+Prs+ConNeg	boazotragediijahuhtáše	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hˌu.tá>.ʃe
boazotragediija+N+Der/huhtti+V+TV+Ind+Prs+Sg1	boazotragediijahuhtán	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hˌu.tá>n
boazotragediija+N+Der/huhtti+V+TV+Sup	boazotragediijahuhtážit	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hˌu.tá>.žit
boazotragediija+N+Der/huvva+V+IV+Cond+Prs+Pl3	boazotragediijahuvaše	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hˌu.vɑ>.ʃe
boazotragediija+N+Der/huvva+V+IV+Ger+PxSg2	boazotragediijahuvadettiinat	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hˌu.vɑ>.det.tij.nɑt
boazotragediija+N+Der/huvva+V+IV+Imprt+Sg2	boazotragediijahuva	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hˌu.vɑ>
boazotragediija+N+Der/huvva+V+IV+Pot+Prs+ConNeg	boazotragediijahuvaš	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hˌu.vɑ>ʃ
boazotragediija+N+Der/huvva+V+IV+VAbess	boazotragediijahuvahaga	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hˌu.vɑ>.hɑ.gɑ
boazotragediija+N+Der/huvva+V+IV+VAbess+A+Attr	boazotragediijahuvakeahtes	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hˌu.vɑ>.kĕɑ.tes
boazotragediija+N+Der/huvva+V+IV+VGen	boazotragediijahuva	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hˌu.vɑ>
boazotragediija+N+Der/huvva+V+IV+Inf	boazotragediijahuvvat	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hˌuv.vɑ>t
boazotragediija+N+Der/huvva+V+IV+Imprt+Du1	boazotragediijahuvvu	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hˌuv.vu>
boazotragediija+N+Der/huvva+V+IV+Ind+Prs+Sg3	boazotragediijahuvvá	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»hˌuvː.vá>
boazotragediija+N+Der/laš+A+Comp+Ess	boazotragediijalabbon	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»lˌɑb.bo>n
boazotragediija+N+Der/laš+A+Comp+Der/at+Adv	boazotragediijaleappot	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»lˌeɑp.po>t
boazotragediija+N+Der/laš+A+Comp+Sg+Ill	boazotragediijalebbui	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»lˌeb.bu>i
boazotragediija+N+Der/laš+A+Comp+Sg+Nom	boazotragediijalut	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»lut>
boazotragediija+N+Der/laš+A+Superl+Attr	boazotragediijalamos	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»lˌɑ.mos>
boazotragediija+N+Der/laš+A+Superl+Sg+Acc	boazotragediijalepmosa	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»lˌep.mo.s>ɑ
boazotragediija+N+Der/laš+A+Der/vuohta+N+Pl+Com+PxSg3	boazotragediijalašvuođaidisguin	bˈoɑ.zo#trˌɑː.ge.dˌiː.jɑ»lɑʃ»vˌuo.ðɑ>i.dis.gujn
boazotragediija+N+Sg+Ill	boazotragediijii	bˈoɑ.zo#trˌɑː.ge.dˌiː.ji>i
bramaista+N+Ess+PxDu2	bramaistaneatte	brˈɑː.mɑ.ˌisː.tɑ>.nĕɑt.te
bramaista+N+Ess+PxSg2	bramaistanat	brˈɑː.mɑ.ˌisː.tɑ>.nɑt
bramaista+N+Ess	bramaistan	brˈɑː.mɑ.ˌisː.tɑ>n
bramaista+N+Sg+Gen+PxDu1	bramaistame	brˈɑː.mɑ.ˌisː.tɑ>.me
bramaista+N+Sg+Gen+PxPl1	bramaistamet	brˈɑː.mɑ.ˌisː.tɑ>.met
bramaista+N+Sg+Nom+PxDu1	bramaistame	brˈɑː.mɑ.ˌisː.tɑ>.me
bramaista+N+Sg+Nom+PxPl1	bramaistamet	brˈɑː.mɑ.ˌisː.tɑ>.met
bramaista+N+Sg+Nom+PxSg2	bramaistat	brˈɑː.mɑ.ˌisː.tɑ>t
bramaista+N+Sg+Nom	bramaista	brˈɑː.mɑ.ˌisː.tɑ>
bramaista+N+Der/viđá+Adv	bramaistaviđá	brˈɑː.mɑ.ˌisː.tɑ»vˌi.ðá
bramaista+N+Sg+Ill	bramaistii	brˈɑː.mɑ.ˌisː.ti>i
bramaista+N+Pl+Acc+PxSg2	bramaisttaidat	brˈɑː.mɑ.ˌis.tɑ>i.dɑt
bramaista+N+Pl+Acc+PxSg3	bramaisttaidis	brˈɑː.mɑ.ˌis.tɑ>i.dis
bramaista+N+Pl+Com	bramaisttaiguin	brˈɑː.mɑ.ˌis.tɑ>i.gujn
bramaista+N+Pl+Gen+PxSg2	bramaisttaidat	brˈɑː.mɑ.ˌis.tɑ>i.dɑt
bramaista+N+Pl+Loc+PxPl1	bramaisttaineamet	brˈɑː.mɑ.ˌis.tɑ>i.nĕɑ.met
bramaista+N+Pl+Nom	bramaisttat	brˈɑː.mɑ.ˌis.tɑ>t
bramaista+N+Sg+Acc+PxDu3	bramaisttaska	brˈɑː.mɑ.ˌis.tɑ>skɑ
bramaista+N+Sg+Acc+PxSg2	bramaisttat	brˈɑː.mɑ.ˌis.tɑ>t
bramaista+N+Sg+Acc+PxSg3	bramaisttas	brˈɑː.mɑ.ˌis.tɑ>s
bramaista+N+Sg+Gen+PxDu2	bramaisttade	brˈɑː.mɑ.ˌis.tɑ>.de
bramaista+N+Sg+Com+PxDu2	bramaisttaineatte	brˈɑː.mɑ.ˌis.tɑ>i.nĕɑt.te
bramaista+N+Sg+Com+PxPl2	bramaisttaineattet	brˈɑː.mɑ.ˌis.tɑ>i.nĕɑt.tet
bramaista+N+Sg+Com+PxPl3	bramaisttaineaset	brˈɑː.mɑ.ˌis.tɑ>i.nĕɑ.set
bramaista+N+Sg+Com+PxSg3	bramaisttainis	brˈɑː.mɑ.ˌis.tɑ>i.nis
bramaista+N+Sg+Com	bramaisttain	brˈɑː.mɑ.ˌis.tɑ>in
bramaista+N+Sg+Loc	bramaisttas	brˈɑː.mɑ.ˌis.tɑ>s
bramaista+N+Sg+Loc+PxSg1	bramaisttastan	brˈɑː.mɑ.ˌis.tɑ>stɑn
bramaista+N+Der/Dimin+N+Sg+Nom	bramaisttaš	brˈɑː.mɑ.ˌis.tɑ»ʃ
bramaista+N+Der/Dimin+N+Der/Dimin+N+Sg+Nom	bramaisttažaš	brˈɑː.mɑ.ˌis.tɑ»žɑʃ>
bramaista+N+Der/heapmi+A+Comp+Attr	bramaisttahet	brˈɑː.mɑ.ˌis.tɑ»het>
bramaista+N+Der/heapmi+A+Superl+Ess	bramaisttahamosin	brˈɑː.mɑ.ˌis.tɑ»hˌɑ.mo.s>in
bramaista+N+Der/heapmi+A+Sg+Com	bramaisttahemiin	brˈɑː.mɑ.ˌis.tɑ»hˌe.mi>in
bramaista+N+Der/heapmi+A+Attr	bramaisttahis	brˈɑː.mɑ.ˌis.tɑ»his>
bramaista+N+Der/huhtti+V+TV+Sup	bramaisttahuhtážit	brˈɑː.mɑ.ˌis.tɑ»hˌu.tá>.žit
bramaista+N+Der/huvva+V+IV+Ger+PxSg2	bramaisttahuvadettiinat	brˈɑː.mɑ.ˌis.tɑ»hˌu.vɑ>.det.tij.nɑt
bramaista+N+Der/huvva+V+IV+Imprt+Pl2	bramaisttahuvvit	brˈɑː.mɑ.ˌis.tɑ»hˌuv.vi>t
bramaista+N+Der/huvva+V+IV+Imprt+Pl1	bramaisttahuvvot	brˈɑː.mɑ.ˌis.tɑ»hˌuv.vo>t
bramaista+N+Der/huvva+V+IV+Imprt+Pl1	bramaisttahuvvut	brˈɑː.mɑ.ˌis.tɑ»hˌuv.vu>t
bramaista+N+Der/laš+A+Comp+Sg+Nom	bramaisttalaččat	brˈɑː.mɑ.ˌis.tɑ»lˌɑč.čɑ>t
bramaista+N+Der/laš+A+AttrCmp+Der/čoarvvat+A+Der/vuohta+N+Ess+PxPl2	bramaisttalaščoarvvatvuohtaneattet	brˈɑː.mɑ.ˌis.tɑ»lɑʃ>»čˌoɑrv.vɑt»vˌuo.tɑ.nˌĕɑt.tet
bramanista+N+Ess+PxDu1	bramanistaneame	brˈɑː.mɑ.nˌisː.tɑ>.nĕɑ.me
bramanista+N+Ess+PxDu2	bramanistaneatte	brˈɑː.mɑ.nˌisː.tɑ>.nĕɑt.te
bramanista+N+Ess+PxPl1	bramanistaneamet	brˈɑː.mɑ.nˌisː.tɑ>.nĕɑ.met
bramanista+N+Ess+PxPl3	bramanistaneaset	brˈɑː.mɑ.nˌisː.tɑ>.nĕɑ.set
bramanista+N+Ess+PxSg2	bramanistanat	brˈɑː.mɑ.nˌisː.tɑ>.nɑt
bramanista+N+Ess	bramanistan	brˈɑː.mɑ.nˌisː.tɑ>n
bramanista+N+Sg+Gen+PxDu1	bramanistame	brˈɑː.mɑ.nˌisː.tɑ>.me
bramanista+N+Sg+Ill+PxPl2	bramanistaseattet	brˈɑː.mɑ.nˌisː.tɑ>.sĕɑt.tet
bramanista+N+Sg+Ill+PxPl3	bramanistaseaset	brˈɑː.mɑ.nˌisː.tɑ>.sĕɑ.set
bramanista+N+Sg+Nom+PxDu1	bramanistame	brˈɑː.mɑ.nˌisː.tɑ>.me
bramanista+N+Der/viđá+Adv	bramanistaviđá	brˈɑː.mɑ.nˌisː.tɑ»vˌi.ðá
bramanista+N+Sg+Ill	bramanistii	brˈɑː.mɑ.nˌisː.ti>i
bramanista+N+Pl+Acc+PxPl2	bramanisttaideattet	brˈɑː.mɑ.nˌis.tɑ>i.dĕɑt.tet
bramanista+N+Pl+Acc+PxPl3	bramanisttaideaset	brˈɑː.mɑ.nˌis.tɑ>i.dĕɑ.set
bramanista+N+Pl+Com	bramanisttaiguin	brˈɑː.mɑ.nˌis.tɑ>i.gujn
bramanista+N+Pl+Nom	bramanisttat	brˈɑː.mɑ.nˌis.tɑ>t
bramanista+N+Sg+Acc+PxPl2	bramanisttadet	brˈɑː.mɑ.nˌis.tɑ>.det
bramanista+N+Sg+Gen	bramanistta	brˈɑː.mɑ.nˌis.tɑ>
bramanista+N+Sg+Com+PxDu2	bramanisttaineatte	brˈɑː.mɑ.nˌis.tɑ>i.nĕɑt.te
bramanista+N+Sg+Com+PxPl1	bramanisttaineamet	brˈɑː.mɑ.nˌis.tɑ>i.nĕɑ.met
bramanista+N+Sg+Com+PxPl2	bramanisttaineattet	brˈɑː.mɑ.nˌis.tɑ>i.nĕɑt.tet
bramanista+N+Sg+Com+PxSg3	bramanisttainis	brˈɑː.mɑ.nˌis.tɑ>i.nis
bramanista+N+Sg+Loc	bramanisttas	brˈɑː.mɑ.nˌis.tɑ>s
bramanista+N+Der/Dimin+N+Der/viđá+Adv	bramanisttašviđá	brˈɑː.mɑ.nˌis.tɑ»ʃ»vˌi.ðá
bramanista+N+Der/Dimin+N+Sg+Gen+PxSg2	bramanisttažat	brˈɑː.mɑ.nˌis.tɑ»žɑt
bramanista+N+Der/heapmi+A+Attr	bramanisttahis	brˈɑː.mɑ.nˌis.tɑ»his>
bramanista+N+Der/heapmi+A+Attr+Der/vuohta+N+Pl+Nom	bramanisttahisvuođat	brˈɑː.mɑ.nˌis.tɑ»his>»vˌuo.ðɑt
bramanista+N+Der/huhtti+V+TV+Ind+Prs+ConNeg	bramanisttahuhte	brˈɑː.mɑ.nˌis.tɑ»hˌu.te>
bramanista+N+Der/huhtti+V+TV+VAbess	bramanisttahuhtehaga	brˈɑː.mɑ.nˌis.tɑ»hˌu.te>.hɑ.gɑ
bramanista+N+Der/huhtti+V+TV+VAbess	bramanisttahuhtekeahttá	brˈɑː.mɑ.nˌis.tɑ»hˌu.te>.keɑt.tá
bramanista+N+Der/huhtti+V+TV+VAbess	bramanisttahuhtikeahttá	brˈɑː.mɑ.nˌis.tɑ»hˌu.ti>.keɑt.tá
bramanista+N+Der/huhtti+V+TV+Ind+Prs+Sg1	bramanisttahuhtán	brˈɑː.mɑ.nˌis.tɑ»hˌu.tá>n
